,t,vx1,vx2,vy1,vy2
71,0.71,-1.8859437642046393,-0.25871999227730336,-2.605764553022921,-0.8560507519587068
72,0.72,-1.845540253974016,-0.26413095491933114,-2.73311788935299,-0.9491164293054379
73,0.73,-1.7968694876451325,-0.26352211045216745,-2.8626545324189854,-1.0476215731622316
74,0.74,-1.739357315117006,-0.2563714310387637,-2.993791742603699,-1.151496450740112
75,0.75,-1.6724522189027524,-0.24216647104340927,-3.1258441074918157,-1.260634883338455
76,0.76,-1.595640693956978,-0.2204137283495844,-3.258018986731801,-1.3748914748692345
77,0.77,-1.5084647387253587,-0.19064975526095163,-3.3894142953125335,-1.4940792267243033
78,0.78,-1.4105412293849722,-0.15245408201393862,-3.5190193629624975,-1.617967744691823
79,0.79,-1.3015827573049037,-0.1054639312083463,-3.6457196614075706,-1.7462822692202855
80,0.8,-1.1814192670473092,-0.049390603273052225,-3.7683061543429037,-1.8787038043798872
81,0.81,-1.0500196391351564,0.015962847657607693,-3.8854902417740806,-2.014870455220067
82,0.8200000000000001,-0.9075119068018318,0.09068295536916327,-3.9959244689689193,-2.1543804627471284
83,0.8300000000000001,-0.75420067218671,0.17472706440556762,-4.098229788310608,-2.2967968696434284
84,0.84,-0.5905801908638948,0.26790530833692505,-4.191029160414431,-2.44165393988401
85,0.85,-0.4173409884297321,0.3698643866712814,-4.272986780197019,-2.5884654923563275
86,0.86,-0.2353683904270223,0.48007475467630745,-4.342852284757833,-2.736734597913804
87,0.87,-0.045731294244815625,0.5978223931380255,-4.399507478251111,-2.8859645895987587
88,0.88,0.15034003811586458,0.722206816433533,-4.442013427477553,-3.035670574066475
89,0.89,0.3514875392719613,0.8521464070902511,-4.469654420684648,-3.185390824658967
90,0.9,0.5562698057409888,0.9863920771385148,-4.481975425601825,-3.334697049534354
91,0.91,0.7632158463931584,1.1235493990423229,-4.478809138473156,-3.48320266925061
92,0.92,0.9708852365799934,1.2621086946389244,-4.460289486211926,-3.6305682398824817
93,0.93,1.177931164637286,1.4004817996082162,-4.426849176397653,-3.776503245190151
94,0.9400000000000001,1.3831619660821626,1.5370431722679887,-4.379199979735312,-3.9207638819518937
95,0.9500000000000001,1.585596702425911,1.670172503990971,-4.3182963628900515,-4.063146774733945
96,0.96,1.7845108401660403,1.7982954933605504,-4.245284557404478,-4.203478868155463
97,0.97,1.9794692911085547,1.9199195208344226,-4.1614405393207505,-4.341604081569377
98,0.98,2.1703451627343955,2.0336611140438485,-4.068101451974935,-4.477367094411638
