,t,vx,vy
315,27216000,-1.475608708476181e-07,1.3176690696009458e-07
316,27302400,-1.4530038117902424e-07,1.342832651724411e-07
317,27388800,-1.429970331891931e-07,1.367613370262115e-07
318,27475200,-1.4065145843508043e-07,1.3920039411292895e-07
319,27561600,-1.382643007998567e-07,1.41599717860711e-07
320,27648000,-1.358362163600979e-07,1.4395859974085403e-07
321,27734400,-1.333678732495998e-07,1.4627634147337138e-07
322,27820800,-1.3085995151979305e-07,1.4855225523143348e-07
323,27907200,-1.2831314299673665e-07,1.507856638446579e-07
324,27993600,-1.2572815113466873e-07,1.5297590100119386e-07
325,28080000,-1.2310569086609315e-07,1.5512231144854592e-07
326,28166400,-1.2044648844838284e-07,1.5722425119307808e-07
327,28252800,-1.1775128130687961e-07,1.5928108769813944e-07
328,28339200,-1.1502081787447292e-07,1.6129220008074974e-07
329,28425600,-1.1225585742764006e-07,1.6325697930678196e-07
330,28512000,-1.0945716991893141e-07,1.6517482838457713e-07
331,28598400,-1.0662553580588571e-07,1.6704516255692578e-07
332,28684800,-1.037617458763616e-07,1.6886740949134706e-07
333,28771200,-1.0086660107027248e-07,1.7064100946859713e-07
334,28857600,-9.794091229771365e-08,1.7236541556933478e-07
335,28944000,-9.498550025347172e-08,1.7404009385887201e-07
336,29030400,-9.200119522790792e-08,1.7566452356993525e-07
337,29116800,-8.898883691420845e-08,1.7723819728336134e-07
338,29203200,-8.594927421199678e-08,1.787606211066508e-07
339,29289600,-8.288336502730416e-08,1.8023131485029987e-07
340,29376000,-7.979197606889703e-08,1.8164981220183106e-07
341,29462400,-7.667598264096091e-08,1.8301566089744008e-07
342,29548800,-7.353626843214342e-08,1.8432842289117695e-07
343,29635200,-7.037372530095998e-08,1.8558767452157628e-07
344,29721600,-6.718925305756859e-08,1.867930066756515e-07
345,29808000,-6.398375924192183e-08,1.8794402495016613e-07
346,29894400,-6.075815889830647e-08,1.8904034981009413e-07
347,29980800,-5.7513374346283494e-08,1.9008161674418004e-07
348,30067200,-5.425033494804336e-08,1.9106747641750916e-07
349,30153600,-5.096997687219423e-08,1.919975948209962e-07
350,30240000,-4.7673242854002735e-08,1.928716534177004e-07
351,30326400,-4.436108195210989e-08,1.9368934928587447e-07
352,30412800,-4.1034449301747013e-08,1.944503952586531e-07
353,30499200,-3.769430586447934e-08,1.9515452006028676e-07
354,30585600,-3.43416181745076e-08,1.9580146843882577e-07
355,30672000,-3.097735808156073e-08,1.9639100129515867e-07
356,30758400,-2.7602502490415396e-08,1.9692289580830873e-07
357,30844800,-2.4218033097081294e-08,1.973969455568921e-07
358,30931200,-2.0824936121693666e-08,1.978129606366402e-07
359,31017600,-1.7424202038157745e-08,1.9817076777388962e-07
360,31104000,-1.4016825300592618e-08,1.9847021043494183e-07
361,31190400,-1.0603804066625217e-08,1.9871114893119517e-07
362,31276800,-7.186139917588021e-09,1.9889346051995203e-07
363,31363200,-3.7648375756773576e-09,1.9901703950080352e-07
364,31449600,-3.4090461813219494e-10,1.9908179730749494e-07
365,31536000,3.084648811503426e-09,1.99087662595175e-07
366,31622400,6.510810294968037e-09,1.9903458132293266e-07
