x,y,z
0.495040633,-0.888521683,5.04E-05
0.502395428,-0.884343282,5.02E-05
0.509714894,-0.880102695,4.99E-05
0.516998515,-0.875800215,4.96E-05
0.524245773,-0.871436136,4.94E-05
0.531456155,-0.867010758,4.91E-05
0.538629149,-0.862524386,4.88E-05
0.545764245,-0.857977329,4.85E-05
0.552860938,-0.853369897,4.82E-05
0.559918722,-0.848702408,4.79E-05
0.566937095,-0.843975183,4.76E-05
0.57391556,-0.839188546,4.73E-05
0.580853617,-0.834342826,4.70E-05
0.587750774,-0.829438356,4.67E-05
0.594606538,-0.824475473,4.64E-05
0.601420421,-0.819454517,4.61E-05
0.608191937,-0.814375833,4.58E-05
0.6149206,-0.809239771,4.55E-05
0.621605932,-0.804046684,4.51E-05
0.628247452,-0.798796927,4.48E-05
0.634844687,-0.793490862,4.45E-05
0.641397163,-0.788128853,4.42E-05
0.64790441,-0.782711269,4.38E-05
0.654365963,-0.777238482,4.35E-05
0.660781356,-0.771710869,4.31E-05
0.667150129,-0.766128809,4.28E-05
0.673471824,-0.760492686,4.25E-05
0.679745986,-0.754802888,4.21E-05
0.685972163,-0.749059807,4.18E-05
0.692149905,-0.743263837,4.14E-05
0.698278768,-0.737415378,4.10E-05
0.704358308,-0.731514831,4.07E-05
0.710388086,-0.725562604,4.03E-05
0.716367665,-0.719559106,3.99E-05
0.722296612,-0.71350475,3.96E-05
0.728174498,-0.707399955,3.92E-05
0.734000895,-0.701245139,3.88E-05
0.73977538,-0.695040729,3.84E-05
0.745497534,-0.688787152,3.81E-05
0.75116694,-0.682484838,3.77E-05
0.756783183,-0.676134224,3.73E-05
0.762345855,-0.669735747,3.69E-05
0.767854549,-0.663289849,3.65E-05
0.773308861,-0.656796976,3.61E-05
0.778708394,-0.650257576,3.57E-05
0.78405275,-0.6436721,3.53E-05
0.789341536,-0.637041006,3.49E-05
0.794574366,-0.63036475,3.45E-05
0.799750852,-0.623643796,3.41E-05
0.804870614,-0.616878608,3.37E-05
0.809933274,-0.610069656,3.33E-05
0.814938458,-0.603217409,3.29E-05
0.819885794,-0.596322345,3.25E-05
0.824774917,-0.589384941,3.20E-05
0.829605464,-0.582405678,3.16E-05
0.834377074,-0.57538504,3.12E-05
0.839089394,-0.568323515,3.08E-05
0.843742072,-0.561221594,3.03E-05
0.848334759,-0.55407977,2.99E-05
0.852867113,-0.54689854,2.95E-05
0.857338793,-0.539678404,2.90E-05
0.861749465,-0.532419863,2.86E-05
0.866098795,-0.525123424,2.82E-05
0.870386457,-0.517789594,2.77E-05
0.874612127,-0.510418886,2.73E-05
0.878775485,-0.503011813,2.68E-05
0.882876216,-0.495568891,2.64E-05
0.886914007,-0.488090642,2.60E-05
0.890888553,-0.480577586,2.55E-05
0.894799549,-0.47303025,2.51E-05
0.898646697,-0.465449161,2.46E-05
0.902429702,-0.457834849,2.41E-05
0.906148274,-0.450187848,2.37E-05
0.909802126,-0.442508693,2.32E-05
0.913390977,-0.434797923,2.28E-05
0.916914548,-0.427056079,2.23E-05
0.920372568,-0.419283703,2.18E-05
0.923764766,-0.411481342,2.14E-05
0.927090878,-0.403649543,2.09E-05
0.930350644,-0.395788858,2.04E-05
0.933543809,-0.38789984,2.00E-05
0.936670121,-0.379983043,1.95E-05
0.939729334,-0.372039026,1.90E-05
0.942721204,-0.364068348,1.86E-05
0.945645496,-0.356071571,1.81E-05
0.948501974,-0.348049261,1.76E-05
0.951290411,-0.340001982,1.71E-05
0.954010582,-0.331930306,1.67E-05
0.956662269,-0.3238348,1.62E-05
0.959245256,-0.31571604,1.57E-05
0.961759333,-0.3075746,1.52E-05
0.964204295,-0.299411056,1.47E-05
0.96657994,-0.291225988,1.42E-05
0.968886073,-0.283019975,1.38E-05
0.971122503,-0.274793602,1.33E-05
0.973289042,-0.266547453,1.28E-05
0.975385509,-0.258282113,1.23E-05
0.977411727,-0.249998171,1.18E-05
0.979367523,-0.241696217,1.13E-05
0.98125273,-0.233376843,1.08E-05
0.983067186,-0.225040641,1.03E-05
0.984810733,-0.216688207,9.84E-06
0.986483217,-0.208320137,9.35E-06
0.988084492,-0.19993703,8.85E-06
0.989614413,-0.191539484,8.36E-06
0.991072843,-0.183128101,7.86E-06
0.992459649,-0.174703484,7.37E-06
0.993774703,-0.166266236,6.87E-06
0.99501788,-0.157816963,6.38E-06
0.996189064,-0.149356271,5.88E-06
