,r,theta
189,2.1266360102786654,-0.47356033189784114
190,2.133908865427228,-0.48678204211476384
191,2.141338814600204,-0.4999129645362831
192,2.148921272076239,-0.5129521488557368
193,2.1566516125934325,-0.5258987463194309
194,2.164525176453175,-0.5387520075461442
195,2.1725372744798244,-0.5515112801973036
196,2.180683192829965,-0.5641760065147277
197,2.1889581976460084,-0.576745720742455
198,2.1973575395498615,-0.5892200464486868
199,2.2058764579733317,-0.6015986937633416
200,2.214510185322784,-0.6138814565460984
201,2.22325395097645,-0.6260682094991438
202,2.2321029851135035,-0.6381589052381366
203,2.241052522374793,-0.6501535713341784
204,2.2500978053557645,-0.6620523073387865
205,2.2592340879327275,-0.6738552818031389
206,2.2684566384241847,-0.6855627293020324
207,2.2777607425894475,-0.6971749474722428
208,2.2871417064672244,-0.7086922940741904
209,2.296594859057263,-0.7201151840850415
210,2.306115554848504,-0.7314440868306427
211,2.3156991761974903,-0.742679523162933
212,2.3253411355610667,-0.7538220626888043
213,2.335036877587613,-0.7648723210556643
214,2.3447818810712566,-0.7758309572983471
215,2.354571660773632,-0.7866986712513588
216,2.3644017691178996,-0.7974762010298974
217,2.374267797759804,-0.8081643205824938
218,2.384165379040597,-0.8187638373176481
219,2.394090187326691,-0.8292755898062986
220,2.4040379402409178,-0.8397004455615621
221,2.414004399790212,-0.8500392988967249
222,2.423985373394541,-0.8602930688621064
223,2.4339767148218265,-0.8704626972610531
224,2.4439743250335204,-0.8805491467450055
225,2.4539741529454306,-0.8905533989872809
226,2.4639721961082923,-0.9004764529349728
227,2.4739645013124405,-0.910319323138098
228,2.4839471651208838,-0.9200830381549616
229,2.4939163343348874,-0.9297686390324744
230,2.503868206396099,-0.9393771778600418
231,2.51379902972908,-0.9489097163954698
232,2.523705104027991,-0.9583673247612362
233,2.533582780491036,-0.9677510802093666
234,2.5434284620061107,-0.9770620659530677
235,2.553238603290999,-0.9863013700632173
236,2.563009710991265,-0.9954700844277404
237,2.5727383437389184,-1.004569303771879
238,2.582421112174714,-1.013600124737323
239,2.5920546789368886,-1.0225636450181677
240,2.6016357586189307,-1.031460962551643
241,2.6111611176989142,-1.04029317476158
242,2.620627574442743,-1.0490613778525726
243,2.6300319987835796,-1.0577666661528362
244,2.6393713121795574,-1.0664101315037613
245,2.648642487451807,-1.0749928626942153
246,2.657842548604693,-1.0835159449376672
247,2.6669685706300337,-1.0919804593902542
248,2.6760176792970065,-1.1003874827079487
249,2.6849870509293083,-1.1087380866410361
250,2.6938739121710595,-1.1170333376641548
251,2.7026755397428497,-1.1252742966402045
252,2.711389260189225,-1.1334620185164785
253,2.7200124496188383,-1.1415975520514288
254,2.7285425334384015,-1.1496819395705233
255,2.7369769860815065,-1.1577162167497175
256,2.7453133307332975,-1.1657014124250986
