,dr,dtheta,r,t,theta
32,-0.5144263468425346,-0.5265188281642871,2.9137364927103824,0.33,2.911181989973044
33,-0.5291703882691287,-0.540972719973795,2.9085184342714823,0.34,2.905844420624979
34,-0.543822295835414,-0.5552905702418878,2.9031533920407107,0.35000000000000003,2.900362989043134
35,-0.5583771361259612,-0.5694681407145032,2.897642311895258,0.36000000000000004,2.8947390768171557
36,-0.5728298218496258,-0.5835011724020883,2.8919861898164076,0.37,2.8889741080224254
37,-0.5871751126994325,-0.5973853850028369,2.886186073424308,0.38,2.883069549430305
38,-0.6014076165838227,-0.6111164763344227,2.8802430635022787,0.39,2.877026910724106
39,-0.6155217912301612,-0.6246901217756097,2.874158315506953,0.4,2.8708477447206975
40,-0.6295119461607391,-0.6381019737192444,2.8679330410605166,0.41000000000000003,2.864533647597639
41,-0.6433722450408744,-0.6513476610382665,2.8615685094213306,0.42000000000000004,2.8580862591257232
42,-0.6570967083980508,-0.664422788566514,2.8550660489292103,0.43,2.8515072629067824
43,-0.6706792167103947,-0.6773229365962461,2.8484270484216707,0.44,2.844798386616607
44,-0.6841135138621391,-0.690043660394458,2.841652958617447,0.45,2.837961402252797
45,-0.6973932109630812,-0.7025804897402373,2.8347452934636372,0.46,2.8309981263873447
46,-0.7105117905283961,-0.7149289284855739,2.827705631442848,0.47000000000000003,2.8239104204237333
47,-0.7234626110145408,-0.7270844541422226,2.820535616836754,0.48000000000000004,2.8167001908582927
48,-0.7362389117063437,-0.7390425174974172,2.8132369609425405,0.49,2.809369389545551
49,-0.7488338179497587,-0.7507985422614261,2.8058114432387438,0.5,2.8019200139672704
50,-0.7612403467241455,-0.7623479247501649,2.798260912497054,0.51,2.7943541075048315
51,-0.7734514125473315,-0.7736860336062985,2.7905872878367344,0.52,2.7866737597146076
52,-0.785459833706115,-0.7848082095625065,2.7827925597183527,0.53,2.778881106605916
53,-0.7972583388042844,-0.7957097652508279,2.7748787908736072,0.54,2.770978330921112
54,-0.8088395736196533,-0.8063859850622642,2.766848117168131,0.55,2.7629676624173403
55,-0.8201961082610536,-0.8168321250610887,2.7587027483942106,0.56,2.7548513781494237
56,-0.8313204446156783,-0.8270434129585924,2.7504449689904744,0.5700000000000001,2.7466318027533094
57,-0.8422050240766374,-0.8370150481512905,2.7420771386857057,0.5800000000000001,2.7383113087294664
58,-0.8528422355400691,-0.8467422018289219,2.7336016930640143,0.59,2.7298923167255524
59,-0.8632244236606529,-0.8562200171578904,2.72502114404874,0.6,2.7213772958176317
60,-0.8733438973538842,-0.8654436095461276,2.716338080302556,0.61,2.712768763789151
61,-0.8831929385330067,-0.8744080669956968,2.7075551675413685,0.62,2.704069287406841
62,-0.8927638110680536,-0.8831084505498159,2.6986751487597207,0.63,2.6952814826926192
63,-0.9020487699540173,-0.8915397948413294,2.6897008443655563,0.64,2.6864080151905236
64,-0.9110400706747669,-0.8996971087500476,2.680635152222304,0.65,2.677451600227625
65,-0.9197299787489418,-0.9075753761767412,2.6714810475964086,0.66,2.6684150031677856
66,-0.9281107794436875,-0.9151695569419782,2.6622415830085453,0.67,2.6593010396570653
67,-0.9361747876417589,-0.9224745878183856,2.6529198879869242,0.68,2.650112575859476
68,-0.9439143578471938,-0.9294853837053257,2.6435191687212116,0.6900000000000001,2.6408525286817106
69,-0.9513218943144673,-0.9361968389553814,2.6340427076157718,0.7000000000000001,2.631523865985373
70,-0.9583898612857618,-0.9426038288624624,2.6244938627410543,0.7100000000000001,2.622129606785144
